Course Title,Course Author,Course Link,Authors's Image Link
Customer Segmentation in Python , Karolis Urbonas, /courses/customer-segmentation-in-python, https://assets.datacamp.com/users/avatars/000/077/667/square/datacamp_pic.JPG?1542703678
Topic Modeling in R , Pavel Oleinikov, /courses/topic-modeling-in-r, https://assets.datacamp.com/users/avatars/000/880/640/square/portrait.jpg?1551377474
Defensive R Programming , Colin Gillespie, /courses/defensive-r-programming, https://assets.datacamp.com/users/avatars/000/643/547/square/img.jpg?1542818068
Foundations of Predictive Analytics in Python (Part 2) , Nele Verbiest, /courses/foundations-of-predictive-analytics-in-python-part-2, https://assets.datacamp.com/users/avatars/000/984/525/square/nv_vierkant.jpg?1547646267
Big Data Fundamentals via PySpark , Upendra Kumar Devisetty, /courses/big-data-fundamentals-via-pyspark, https://assets.datacamp.com/users/avatars/000/079/051/square/Photo_on_12-20-18_at_9.30_AM.png?1546020412
Dimensionality Reduction in Python , Jeroen Boeye, /courses/dimensionality-reduction-in-python, https://assets.datacamp.com/users/avatars/000/287/070/square/profile_pic_zoomed_MQ.jpg?1553293591
Working with Dates and Times in Python , Max Shron, /courses/working-with-dates-and-times-in-python, https://assets.datacamp.com/users/avatars/001/905/157/square/Max_Shron_headshot_--_cropped.jpeg?1551106262
Software Engineering for Data Scientists in Python , Adam Spannbauer, /courses/software-engineering-for-data-scientists-in-python, https://assets.datacamp.com/users/avatars/001/479/633/square/headshot.jpeg?1548278607
SQL for Exploratory Data Analysis , Christina Maimone, /courses/sql-for-exploratory-data-analysis, https://assets.datacamp.com/users/avatars/000/572/142/square/Christina_M_fixedsmallsq.jpg?1548558813
Intermediate SQL , Mona Khalil, /courses/intermediate-sql, https://assets.datacamp.com/users/avatars/002/929/194/square/download.png?1537477091
Writing Efficient Python Code , Logan Thomas, /courses/writing-efficient-python-code, https://assets.datacamp.com/users/avatars/002/853/990/square/IMG_2103_2.png?1534512124
Introduction to Data Science in Python , Hillary Green-Lerman, /courses/introduction-to-data-science-in-python, https://assets.datacamp.com/users/avatars/002/929/325/square/IMG_20180904_083108590_HDR.jpg?1536779019
Introduction to Relational Databases in SQL , Timo Grossenbacher, /courses/introduction-to-relational-databases-in-sql, https://assets.datacamp.com/users/avatars/001/189/228/square/wd0a6wOs_400x400.jpg?1510082450
Introduction to Matplotlib , Ariel Rokem, /courses/introduction-to-matplotlib, https://assets.datacamp.com/users/avatars/001/449/022/square/ariel-headshot.jpg?1532723856
Introduction to Text Analysis in R , Marc Dotson, /courses/introduction-to-text-analysis-in-r, https://assets.datacamp.com/users/avatars/000/496/051/square/x7kdw9Ls_400x400.jpg?1555373801
Feature Engineering for Machine Learning in Python , Robert O'Callaghan, /courses/feature-engineering-for-machine-learning-in-python, https://assets.datacamp.com/users/avatars/000/003/375/square/profile_pic_pnk.png?1556463982
Reporting in SQL , Tyler Pernes, /courses/reporting-in-sql, https://assets.datacamp.com/users/avatars/003/046/864/square/0?1538431954
Foundations of Probability in Python , Alexander A. Ramírez M., /courses/foundations-of-probability-in-python, https://assets.datacamp.com/users/avatars/000/412/115/square/vision833.png?1556807538
Optimizing Python Code with pandas , Leonidas Souliotis, /courses/optimizing-python-code-with-pandas, https://assets.datacamp.com/users/avatars/002/332/858/square/DSC_0062_%282%29.JPG?1540198082
Python for Spreadsheet Users , Chris Cardillo, /courses/python-for-spreadsheet-users, https://assets.datacamp.com/users/avatars/002/376/160/square/Me_2.png?1546519958
Improving Your Data Visualizations in Python , Nicholas Strayer, /courses/improving-your-data-visualizations-in-python, https://assets.datacamp.com/users/avatars/001/023/999/square/Screen_Shot_2018-12-20_at_2.26.55_PM.png?1545337634
Clustering Methods with SciPy , Shaumik Daityari, /courses/clustering-methods-with-scipy, https://assets.datacamp.com/users/avatars/001/955/217/square/12891802_10207744675082134_2494294810639875186_o.jpg?1548875697
Financial Analytics in Spreadsheets , David Ardia, /courses/financial-analytics-in-spreadsheets, https://assets.datacamp.com/users/avatars/000/470/063/square/Dave.jpg?1537381530
Introduction to TensorFlow in Python , Isaiah Hull, /courses/introduction-to-tensorflow-in-python, https://assets.datacamp.com/users/avatars/003/045/284/square/Isaiah-Headshot1_SQ.JPG?1555697520
Model Validation in Python , Kasey Jones, /courses/model-validation-in-python, https://assets.datacamp.com/users/avatars/002/429/492/square/kj_-_K_Jones.jpg?1546022364
Introduction to Seaborn , Erin Case, /courses/introduction-to-seaborn, https://assets.datacamp.com/users/avatars/002/157/202/square/datacamp_photo.jpg?1555296127
Analyzing Business Data in SQL , Michel Semaan, /courses/analyzing-business-data-in-sql, https://assets.datacamp.com/users/avatars/003/114/904/square/download.png?1557475546
Data-Driven Decision Making in SQL , Bart Baesens, /courses/data-driven-decision-making-with-sql, https://assets.datacamp.com/users/avatars/000/999/751/square/Bart_Baesens.JPG?1541789370
Analyzing IoT Data in Python , Matthias Voppichler, /courses/analyzing-iot-data-in-python, https://assets.datacamp.com/users/avatars/002/791/003/square/img_small_rect_drawing.jpg?1545479614
Dimensionality Reduction in R , Alexandros Tantos, /courses/dimensionality-reduction-in-r, https://assets.datacamp.com/users/avatars/000/108/949/square/self_img2.jpg?1544120348
Inference for Numerical Data , Mine Cetinkaya-Rundel, /courses/inference-for-numerical-data, https://assets.datacamp.com/users/avatars/000/006/716/square/mine.png?1392389966
Inference for Categorical Data , Andrew Bray, /courses/inference-for-categorical-data, https://assets.datacamp.com/users/avatars/000/073/494/square/andrew.JPG?1545940135
Business Process Analytics in R , Gert  Janssenswillen, /courses/business-process-analytics-in-r, https://assets.datacamp.com/users/avatars/000/177/587/square/gert.png?1521567947
Network Analysis in R: Case Studies , Ted Hart, /courses/network-analysis-in-r-case-studies, https://assets.datacamp.com/users/avatars/001/377/008/square/IMG_4463.jpg?1532034312
Customer Analytics & A/B Testing in Python , Ryan Grossman, /courses/customer-analytics-ab-testing-in-python, https://assets.datacamp.com/users/avatars/000/235/262/square/ryan_grossman.png?1531533400
Parallel Programming in R , Hana Sevcikova, /courses/parallel-programming-in-r, https://assets.datacamp.com/users/avatars/001/474/207/square/IMG_4221_5.jpg?1532139567
Introduction to Bioconductor , Paula Martinez, /courses/introduction-to-bioconductor, https://assets.datacamp.com/users/avatars/000/168/179/square/Paula_face.jpg?1537467224
Financial Forecasting in Python , Victoria Clark, /courses/financial-forecasting-in-python, https://assets.datacamp.com/users/avatars/001/576/076/square/Vicky_crop_-_Victoria_Clark.jpg?1530622838
Working with Geospatial Data in Python , Joris Van den Bossche, /courses/working-with-geospatial-data-in-python, https://assets.datacamp.com/users/avatars/000/380/789/square/foto_scaled.png?1551365603
Single-Cell RNA-Seq Workflows in R , Fanny Perraudeau, /courses/single-cell-rna-seq-workflows-in-r, https://assets.datacamp.com/users/avatars/001/821/792/square/fanny.png?1532990207
Time Series with data.table in R , James Lamb, /courses/time-series-with-datatable-in-r, https://assets.datacamp.com/users/avatars/000/054/514/square/web_headshot.jpg?1543297768
Longitudinal Analysis in R , DataCamp Content Creator, /courses/longitudinal-analysis-in-r, https://assets.datacamp.com/users/avatars/003/959/494/square/datacamp-icon3.jpg?1555620484
Data Visualization in Spreadsheets , Raina Hawley, /courses/data-visualization-in-spreadsheets, https://assets.datacamp.com/users/avatars/001/879/327/square/Datacamp_me.jpg?1549165561
Probability Puzzles in R , Peter Chi, /courses/probability-puzzles-in-r, https://assets.datacamp.com/users/avatars/001/397/674/square/PeterChi-headshot3.jpg?1545407818
Feature Engineering in R , Jose Hernandez, /courses/feature-engineering-in-r, https://assets.datacamp.com/users/avatars/000/966/423/square/jose_face.jpg?1548969209
Analyzing US Census Data in Python , Lee Hachadoorian, /courses/analyzing-us-census-data-in-python, https://assets.datacamp.com/users/avatars/000/038/334/square/Lee_Hachadoorian_-_headshot.jpg?1555691085
Designing Machine Learning Workflows in Python , Christoforos Anagnostopoulos, /courses/designing-machine-learning-workflows-in-python, https://assets.datacamp.com/users/avatars/002/440/273/square/0?1525121013
Introduction to SQL Server , John MacKintosh, /courses/introduction-to-sql-server, https://assets.datacamp.com/users/avatars/000/295/372/square/profpic_%282%29.jpg?1551136934
Creating Robust Python Workflows , Martin Skarzynski, /courses/creating-robust-python-workflows, https://assets.datacamp.com/users/avatars/000/192/398/square/Martin_Skarzynski_crop.jpg?1534898052
Analyzing Marketing Campaigns with pandas , Jill Rosok, /courses/analyzing-marketing-campaigns-with-pandas, https://assets.datacamp.com/users/avatars/003/089/216/square/IMG_2728.JPG?1559325287
Machine Learning with Apache Spark , Andrew Collier, /courses/machine-learning-with-apache-spark, https://assets.datacamp.com/users/avatars/000/063/868/square/collierab-centred.jpg?1541152075
Introduction to Spark SQL with Python , Mark Plutowski, /courses/introduction-to-spark-sql, https://assets.datacamp.com/users/avatars/002/851/254/square/0?1534408008
Conditional Formatting in Spreadsheets , Adam Steinfurth, /courses/conditional-formatting-in-spreadsheets, https://assets.datacamp.com/users/avatars/003/096/685/square/IMG_4836_160px.jpg?1552682319
Exploratory Data Analysis in Python , Allen Downey, /courses/exploratory-data-analysis-in-python, https://assets.datacamp.com/users/avatars/002/848/969/square/AllenDowney.jpeg?1553897159
Generalized Linear Models in Python , Ita Cirovic Donev, /courses/generalized-linear-models-in-python, https://assets.datacamp.com/users/avatars/000/095/627/square/IMG_9030.PNG?1528212059
Preparing for Statistics Interview Questions in Python , Conor Dewey, /courses/preparing-for-statistics-interview-questions-in-python, https://assets.datacamp.com/users/avatars/002/655/548/square/sf_headshot_close.jpeg?1545087204
Feature Engineering for NLP in Python , Rounak Banik, /courses/feature-engineering-for-nlp-in-python, https://assets.datacamp.com/users/avatars/000/926/638/square/IMG-20180510-WA0008.jpg?1544356579
Streamlined Data Ingestion with pandas , Amany Mahfouz, /courses/streamlined-data-ingestion-with-pandas, https://assets.datacamp.com/users/avatars/000/366/984/square/bio_photo_cropped.png?1558651011
Hierarchical and Recursive Queries in SQL Server , Dominik Egarter, /courses/hierarchical-and-recursive-queries-in-sql-server, https://assets.datacamp.com/users/avatars/001/256/370/square/0_YkBR4vqCCtRDU7O2pXUzgqW8hKL7yp-2pBdnONVuSXku4j8CYN9cytaHkYX?1501242604
Survey and Measurement Development in R , George Mount, /courses/survey-and-measurement-development-in-r, https://assets.datacamp.com/users/avatars/003/458/923/square/27858029_910537778546_6827648317890050983_n_%281%29.jpg?1556394819
Regular Expressions in Python , Maria Eugenia Inzaugarat, /courses/regular-expressions-in-python, https://assets.datacamp.com/users/avatars/002/092/041/square/picute4343.jpg?1551971509
