Course Title,Course Author,Course Link,Authors's Image Link
Spatial Analysis in R with sf and raster , Zev Ross, /courses/spatial-analysis-in-r-with-sf-and-raster, https://assets.datacamp.com/users/avatars/000/450/662/square/zev.png?1512842150
Introduction to PySpark , Lore Dirick, /courses/introduction-to-pyspark, https://assets.datacamp.com/users/avatars/000/310/314/square/loreaboutpic.jpg?1493154524
Network Analysis in R , James Curley, /courses/network-analysis-in-r, https://assets.datacamp.com/users/avatars/000/819/917/square/nqeqmqiVrQ.jpeg?1514333982
Case Studies in Statistical Thinking , Justin Bois, /courses/case-studies-in-statistical-thinking, https://assets.datacamp.com/users/avatars/000/353/914/square/Screenshot_2016-10-07_18.54.27.png?1475880916
Joining Data in SQL , Chester Ismay, /courses/joining-data-in-postgresql, https://assets.datacamp.com/users/avatars/001/101/011/square/download.png?1510155744
Introduction to the Tidyverse , David Robinson, /courses/introduction-to-the-tidyverse, https://assets.datacamp.com/users/avatars/000/451/056/square/david_robinson_picture2.jpg?1476112227
Introduction to Shell for Data Science , Greg Wilson, /courses/introduction-to-shell-for-data-science, https://assets.datacamp.com/users/avatars/001/257/775/square/gvwilson-tpl-2017-large.jpg?1508344763
Developing R Packages , Aimee Gott, /courses/developing-r-packages, https://assets.datacamp.com/users/avatars/000/055/264/square/aimeebiophoto.JPG?1535604127
Visualizing Time Series Data in Python , Thomas Vincent, /courses/visualizing-time-series-data-in-python, https://assets.datacamp.com/users/avatars/001/138/929/square/tlfvincent.png?1521043184
Data Manipulation in R with data.table , Matt Dowle, /courses/data-manipulation-in-r-with-datatable, https://assets.datacamp.com/users/avatars/000/039/389/square/matt.jpg?1546303108
Fundamentals of Bayesian Data Analysis in R , Rasmus Bååth, /courses/fundamentals-of-bayesian-data-analysis-in-r, https://assets.datacamp.com/users/avatars/000/075/690/square/rasmus1_small_squared.jpeg?1530003034
Working with Dates and Times in R , Charlotte Wickham, /courses/working-with-dates-and-times-in-r, https://assets.datacamp.com/users/avatars/000/037/334/square/Charlotte-square-small.jpg?1465646329
Introduction to Git for Data Science , Greg Wilson, /courses/introduction-to-git-for-data-science, https://assets.datacamp.com/users/avatars/001/257/775/square/gvwilson-tpl-2017-large.jpg?1508344763
Python for R Users , Daniel Chen, /courses/python-for-r-users, https://assets.datacamp.com/users/avatars/000/481/353/square/danielchen.png?1487951784
Cluster Analysis in R , Dmitriy Gorenshteyn, /courses/cluster-analysis-in-r, https://assets.datacamp.com/users/avatars/000/078/072/square/dima.jpeg?1514901110
Intro to Financial Concepts using Python , Dakota Wixom, /courses/intro-to-financial-concepts-using-python, https://assets.datacamp.com/users/avatars/000/141/250/square/dakota-profile-pic-white-square.jpg?1513976402
Intro to Portfolio Risk Management in Python , Dakota Wixom, /courses/intro-to-portfolio-risk-management-in-python, https://assets.datacamp.com/users/avatars/000/141/250/square/dakota-profile-pic-white-square.jpg?1513976402
Conda Essentials , David Mertz, /courses/conda-essentials, https://assets.datacamp.com/users/avatars/001/478/713/square/david.png?1529951619
Interactive Data Visualization with plotly in R , Adam Loy, /courses/interactive-data-visualization-with-plotly-in-r, https://assets.datacamp.com/users/avatars/001/919/425/square/1311926.jpeg?1543590972
Visualizing Big Data with Trelliscope , Ryan Hafen, /courses/visualizing-big-data-with-trelliscope, https://assets.datacamp.com/users/avatars/000/073/845/square/hafen.png?1520354087
Building Dashboards with flexdashboard , Elaine McVey, /courses/building-dashboards-with-flexdashboard, https://assets.datacamp.com/users/avatars/000/345/826/square/0_Pb5z4XxLbD90Of1CXnM1e-YiF0B9VSYXrzZ1WsOinxcnwT1bbTZPyf0iQ0cs2TYX9DZPZNYQvV9nWymar2qsf0OLGV99WyGXT2qcsXG5Bhb0WIPSTeX9pzQ1bY?1496892225
Communicating with Data in the Tidyverse , Timo Grossenbacher, /courses/communicating-with-data-in-the-tidyverse, https://assets.datacamp.com/users/avatars/001/189/228/square/wd0a6wOs_400x400.jpg?1510082450
Introduction to Linear Modeling in Python , Jason Vestuto, /courses/introduction-to-linear-modeling-in-python, https://assets.datacamp.com/users/avatars/000/971/044/square/vestuto_square.png?1541570984
Introduction to MongoDB in Python , Donny Winston, /courses/introduction-to-using-mongodb-for-data-science-with-python, https://assets.datacamp.com/users/avatars/001/649/769/square/me-lbl-eta-official-2016-square-sm.jpg?1547233038
ChIP-seq Workflows in R , Peter Humburg, /courses/chip-seq-workflows-in-r, https://assets.datacamp.com/users/avatars/001/308/754/square/Screen_Shot_2018-09-13_at_12.13.12_PM.png?1536855234
Joining Data in R with data.table , Scott Ritchie, /courses/joining-data-in-r-with-datatable, https://assets.datacamp.com/users/avatars/001/428/474/square/image18.png?1540402054
Foundations of Functional Programming with purrr , DataCamp Content Creator, /courses/foundations-of-functional-programming-with-purrr, https://assets.datacamp.com/users/avatars/003/959/563/square/datacamp-icon3.jpg?1555620918
Visualization Best Practices in R , Nick Strayer, /courses/visualization-best-practices-in-r, https://assets.datacamp.com/users/avatars/001/650/878/square/nstrayer.jpg?1537566143
Building Dashboards with shinydashboard , Lucy D’Agostino McGowan, /courses/building-dashboards-with-shinydashboard, https://assets.datacamp.com/users/avatars/001/509/725/square/lucy-asa_copy.png?1519665596
Modeling with Data in the Tidyverse , Albert Y. Kim, /courses/modeling-with-data-in-the-tidyverse, https://assets.datacamp.com/users/avatars/000/042/850/square/bert_cropped.jpg?1504480960
Human Resources Analytics in R: Exploring Employee Data , Ben Teusch, /courses/human-resources-analytics-in-r-exploring-employee-data, https://assets.datacamp.com/users/avatars/000/199/993/square/0_P2c1zPfaN01KDLKJTLIlTe7SLY_VZ5KMXLoKkDfH5h_0dW1MTjIKq57Sv8_-ILKvBjIv5JaH6sfssNmz6bQyGemalsfVsNGVXbQABPtmX8Y1siPPXinrloqbAr?1504810595
Working with Data in the Tidyverse , Alison Hill, /courses/working-with-data-in-the-tidyverse, https://assets.datacamp.com/users/avatars/001/019/905/square/aph-500x500.jpg?1504041447
Supervised Learning in R: Case Studies , DataCamp Content Creator, /courses/supervised-learning-in-r-case-studies, https://assets.datacamp.com/users/avatars/003/959/633/square/datacamp-icon3.jpg?1555688234
Forecasting Product Demand in R , Aric LaBarr, /courses/forecasting-product-demand-in-r, https://assets.datacamp.com/users/avatars/000/288/785/square/01_lowres.jpg?1513478317
Marketing Analytics in R: Statistical Modeling , Verena Pflieger, /courses/marketing-analytics-in-r-statistical-modeling, https://assets.datacamp.com/users/avatars/000/142/029/square/INWT_vpflieger.jpg?1527883548
Hierarchical and Mixed Effects Models , Richard Erickson, /courses/hierarchical-and-mixed-effects-models, https://assets.datacamp.com/users/avatars/001/561/773/square/DSC04589.JPG?1522202088
Machine Learning for Time Series Data in Python , Chris Holdgraf, /courses/machine-learning-for-time-series-data-in-python, https://assets.datacamp.com/users/avatars/001/233/610/square/profile_sq.png?1538333916
Linear Classifiers in Python , Mike Gelbart, /courses/linear-classifiers-in-python, https://assets.datacamp.com/users/avatars/001/464/240/square/MikePhotoSquare.jpg?1520402090
HR Analytics in Python: Predicting Employee Churn , Hrant Davtyan, /courses/hr-analytics-in-python-predicting-employee-churn, https://assets.datacamp.com/users/avatars/000/886/147/square/hrant.jpeg?1523387842
Feature Engineering with PySpark , John Hogue, /courses/feature-engineering-with-pyspark, https://assets.datacamp.com/users/avatars/001/481/163/square/0.jpeg?1543104622
Machine Learning with Tree-Based Models in Python , Elie Kawerk, /courses/machine-learning-with-tree-based-models-in-python, https://assets.datacamp.com/users/avatars/000/159/568/square/elie_kawerk_%281%29_%28copy%29.JPG?1548965352
Human Resources Analytics in R: Predicting Employee ... , Anurag Gupta, /courses/human-resources-analytics-in-r-predicting-employee-churn, https://assets.datacamp.com/users/avatars/000/131/838/square/IMG_20180115_162342-1-1.jpg?1530957119
Predicting Customer Churn in Python , Mark Peterson, /courses/predicting-customer-churn-in-python, https://assets.datacamp.com/users/avatars/001/484/945/square/markep.jpeg?1523553109
Data Privacy and Anonymization in R , Claire Bowen, /courses/data-privacy-and-anonymization-in-r, https://assets.datacamp.com/users/avatars/001/757/460/square/bowen.jpg?1525087986
Nonlinear Modeling in R with GAMs , DataCamp Content Creator, /courses/nonlinear-modeling-in-r-with-gams, https://assets.datacamp.com/users/avatars/003/959/631/square/datacamp-icon3.jpg?1555623584
Bayesian Modeling with RJAGS , Alicia Johnson, /courses/bayesian-modeling-with-rjags, https://assets.datacamp.com/users/avatars/001/724/969/square/alicia_Johnson600-140x0-c-default.jpg?1532118113
Structural Equation Modeling with lavaan in R , Erin Buchanan, /courses/structural-equation-modeling-with-lavaan-in-r, https://assets.datacamp.com/users/avatars/001/761/329/square/header.jpg?1520542566
Differential Expression Analysis in R with limma , John Blischak, /courses/differential-expression-analysis-in-r-with-limma, https://assets.datacamp.com/users/avatars/001/295/589/square/headshot-cropped.jpg?1534530731
Factor Analysis in R , Jennifer Brussow, /courses/factor-analysis-in-r, https://assets.datacamp.com/users/avatars/000/285/191/square/IMG_20180301_082230_314_-_Jennifer_Brussow.jpg?1531168548
Foundations of Predictive Analytics in Python (Part 1) , Nele Verbiest, /courses/foundations-of-predictive-analytics-in-python-part-1, https://assets.datacamp.com/users/avatars/000/984/525/square/nv_vierkant.jpg?1547646267
Marketing Analytics in R: Choice Modeling , Elea McDonnell Feit, /courses/marketing-analytics-in-r-choice-modeling, https://assets.datacamp.com/users/avatars/001/589/285/square/Feit_Headshot_2018_crop.jpeg?1532533120
Categorical Data in the Tidyverse , Emily Robinson, /courses/categorical-data-in-the-tidyverse, https://assets.datacamp.com/users/avatars/000/313/519/square/profile_picture.png?1530023684
Multivariate Probability Distributions in R , Surajit Ray, /courses/multivariate-probability-distributions-in-r, https://assets.datacamp.com/users/avatars/001/589/047/square/surajit.png?1539343989
Advanced Deep Learning with Keras in Python , Zachary Deane-Mayer, /courses/advanced-deep-learning-with-keras-in-python, https://assets.datacamp.com/users/avatars/000/000/223/square/zach.jpg?1471726055
Experimental Design in R , kaelen medeiros, /courses/experimental-design-in-r, https://assets.datacamp.com/users/avatars/000/672/758/square/cTQpoOD4_400x400.jpg?1505762815
Preprocessing for Machine Learning in Python , Sarah Guido, /courses/preprocessing-for-machine-learning-in-python, https://assets.datacamp.com/users/avatars/001/335/739/square/3422080.jpeg?1532553642
Machine Learning for Finance in Python , Nathan George, /courses/machine-learning-for-finance-in-python, https://assets.datacamp.com/users/avatars/000/375/093/square/galvanize-denver-platte-ds-23_%281%29_%281%29.jpg?1524680349
Building Response Models in R , Kathrin Gruber, /courses/building-response-models-in-r, https://assets.datacamp.com/users/avatars/001/952/784/square/IMG_3080.png?1541202430
Bayesian Regression Modeling with rstanarm , Jake Thompson, /courses/bayesian-regression-modeling-with-rstanarm, https://assets.datacamp.com/users/avatars/001/142/646/square/0_xxekYVL_mjqd7lB_2VN6o85Lyy4d7xJLgMv3mkL5Y0M27PsEHmN64KXhfyzdO1JLjjNFa75hyoZ2pmREMqJIW3L_IoZupmwL4qJQpVJiYrd5pJVu4Kdbn0Punj?1512521957
Intermediate Functional Programming with purrr , Colin FAY, /courses/intermediate-functional-programming-with-purrr, https://assets.datacamp.com/users/avatars/000/340/959/square/colin_coffee_squared.jpg?1519199461
Intro to Python for Finance , Adina Howe, /courses/intro-to-python-for-finance, https://assets.datacamp.com/users/avatars/001/382/688/square/DSC_0004.jpg?1537585423
Analyzing Survey Data in R , Kelly McConville, /courses/analyzing-survey-data-in-r, https://assets.datacamp.com/users/avatars/001/000/028/square/mcconville_cropped.jpg?1527700878
Mixture Models in R , Víctor Medina, /courses/mixture-models-in-r, https://assets.datacamp.com/users/avatars/000/737/057/square/bio-photo.jpg?1534798607
Network Science in R - A Tidy Approach , Massimo Franceschet, /courses/network-science-in-r-a-tidy-approach, https://assets.datacamp.com/users/avatars/001/813/350/square/me3.jpg?1513353339
Hyperparameter Tuning in R , Shirin  Glander, /courses/hyperparameter-tuning-in-r, https://assets.datacamp.com/users/avatars/001/760/560/square/shirin_glander_noch_kleiner.png?1522163975
Support Vector Machines in R , Kailash Awati, /courses/support-vector-machines-in-r, https://assets.datacamp.com/users/avatars/001/689/877/square/KA-WP.jpg?1525928928
Interactive Maps with leaflet in R , Rich Majerus, /courses/interactive-maps-with-leaflet-in-r, https://assets.datacamp.com/users/avatars/001/230/520/square/majerus_rich_headshot.jpg?1524321486
Analyzing Election and Polling Data in R , G Elliott Morris, /courses/analyzing-election-and-polling-data-in-r, https://assets.datacamp.com/users/avatars/001/696/965/square/Screen_Shot_2018-03-06_at_2.43.36_PM.png?1520369028
A/B Testing in R , Page Piccinini, /courses/ab-testing-in-r, https://assets.datacamp.com/users/avatars/000/966/673/square/thumb_yosemite_1024.jpg?1525143637
RNA-Seq Differential Expression Analysis , Mary Piper, /courses/rna-seq-differential-expression-analysis, https://assets.datacamp.com/users/avatars/000/123/468/square/0.jpg?1533677576
Analyzing Police Activity with pandas , Kevin Markham, /courses/analyzing-police-activity-with-pandas, https://assets.datacamp.com/users/avatars/000/336/065/square/headshot-lg.jpg?1529586533
Analyzing US Census Data in R , Kyle Walker, /courses/analyzing-us-census-data-in-r, https://assets.datacamp.com/users/avatars/001/698/151/square/profile.jpg?1532978208
Conda for Building & Distributing Packages , Albert DeFusco, /courses/conda-for-building-distributing-packages, https://assets.datacamp.com/users/avatars/000/512/501/square/headshot.jpeg?1504820275
Data Visualization with Seaborn , Chris Moffitt, /courses/data-visualization-with-seaborn, https://assets.datacamp.com/users/avatars/000/817/558/square/DSC_0042_SM_2.JPG?1522015581
Anomaly Detection in R , Alastair Rushworth, /courses/anomaly-detection-in-r, https://assets.datacamp.com/users/avatars/002/104/648/square/me2.JPG?1542305393
Statistical Simulation in Python , Tushar Shanker, /courses/statistical-simulation-in-python, https://assets.datacamp.com/users/avatars/000/650/987/square/Screen_Shot_2018-06-17_at_9.31.45_AM.png?1529253213
Dealing With Missing Data in R , Nicholas Tierney, /courses/dealing-with-missing-data-in-r, https://assets.datacamp.com/users/avatars/000/455/871/square/njtierney.png?1537559730
Python for MATLAB Users , Justin Kiggins, /courses/python-for-matlab-users, https://assets.datacamp.com/users/avatars/001/779/250/square/emrhPPQq_400x400.jpg?1532469887
Visualizing Geospatial Data in Python , Mary van Valkenburg, /courses/visualizing-geospatial-data-in-python, https://assets.datacamp.com/users/avatars/000/259/829/square/Screen_Shot_2018-10-15_at_4.13.12_PM.png?1539638034
Survival Analysis in R , Heidi Seibold, /courses/survival-analysis-in-r, https://assets.datacamp.com/users/avatars/001/067/391/square/Heidi_small.jpg?1542266862
Biomedical Image Analysis in Python , Stephen Bailey, /courses/biomedical-image-analysis-in-python, https://assets.datacamp.com/users/avatars/001/774/361/square/skb02-1-315x315.jpg?1515207258
Building Recommendation Engines with PySpark , Jamen Long, /courses/recommendation-engines-in-pyspark, https://assets.datacamp.com/users/avatars/000/120/124/square/Jamen.jpg?1536864561
Financial Analytics in R , Emily Riederer, /courses/financial-analytics-in-r, https://assets.datacamp.com/users/avatars/000/929/287/square/0.png?1538027030
Interactive Data Visualization with rbokeh , Omayma Said, /courses/interactive-data-visualization-with-rbokeh, https://assets.datacamp.com/users/avatars/000/254/434/square/B7H1-OMAYMA_SAID.jpg?1534974674
Intermediate Interactive Data Visualization with plo... , Adam Loy, /courses/intermediate-interactive-data-visualization-with-plotly-in-r, https://assets.datacamp.com/users/avatars/001/919/425/square/1311926.jpeg?1543590972
